Symbol,Name,Sector,Divergence_Index,Divergence_Category
PRU,"Prudential Financial, Inc.",Financial Services,22.71,High
PLD,"Prologis, Inc.",Real Estate,5.45,Low
PGR,Progressive Corporation,Financial Services,16.14,Moderate
PG,Procter & Gamble Company,Consumer Defensive,13.67,Low
PFG,"Principal Financial Group, Inc.",Financial Services,14.04,Moderate
PPL,Ppl Corporation,Utilities,23.49,High
PPG,"Ppg Industries, Inc.",Basic Materials,9.97,Low
PNC,Pnc Financial Services Group,Financial Services,22.47,High
PNW,Pinnacle West Capital Corporation,Utilities,26.29,High
PSX,Phillips 66,Energy,27.79,High
PM,Philip Morris International Inc.,Consumer Defensive,20.26,High
PCG,Pg&e Corporation,Utilities,27.71,High
PFE,Pfizer Inc.,Healthcare,21.13,High
PEP,"Pepsico, Inc.",Consumer Defensive,15.75,Moderate
PNR,Pentair Plc,Industrials,17.43,Moderate
PYPL,"Paypal Holdings, Inc.",Financial Services,11.9,Low
PAYX,Paychex Inc,Industrials,12.52,Low
PH,Parker-Hannifin Corporation,Industrials,17.96,Moderate
PARA,Paramount Global Class B,Communication Services,20.43,High
PANW,"Palo Alto Networks, Inc.",Technology,14.33,Moderate
PKG,Packaging Corp of America,Consumer Cyclical,27.2,High
PCAR,Paccar Inc,Industrials,9.07,Low
ORCL,Oracle Corp,Technology,13.04,Low
OKE,"Oneok, Inc.",Energy,25.57,High
ON,On Semiconductor Corp,Technology,20.14,High
OMC,Omnicom Group Inc.,Communication Services,19.12,Moderate
OXY,Occidental Petroleum Corporation,Energy,35.77,High
ORLY,"O'reilly Automotive, Inc.",Consumer Cyclical,16.09,Moderate
NXPI,Nxp Semiconductors N.v.,Technology,14.19,Moderate
NVR,"Nvr, Inc.",Consumer Cyclical,14.87,Moderate
NVDA,Nvidia Corp,Technology,6.62,Low
NUE,Nucor Corporation,Basic Materials,16.66,Moderate
NRG,"Nrg Energy, Inc.",Utilities,22.27,High
NCLH,Norwegian Cruise Line Holdings Ltd.s,Consumer Cyclical,12.21,Low
NOC,Northrop Grumman Corp.,Industrials,20.69,High
NTRS,Northern Trust Corp,Financial Services,19.45,Moderate
NSC,Norfolk Southern Corp.,Industrials,15.73,Moderate
NDSN,Nordson Corp,Industrials,21.93,High
NI,Nisource Inc.,Utilities,17.69,Moderate
NKE,"Nike, Inc.",Consumer Cyclical,17.52,Moderate
NEE,"Nextra Energy, Inc.",Utilities,9.86,Low
NWSA,News Corporation Class A,Communication Services,11.3,Low
NEM,Newmont Corporation,Basic Materials,15.12,Moderate
NFLX,Netflix Inc,Communication Services,15.79,Moderate
NTAP,"Netapp, Inc",Technology,13.43,Low
NDAQ,"Nasdaq, Inc.",Financial Services,14.26,Moderate
MSCI,"Msci, Inc.",Financial Services,14.9,Moderate
MSI,"Motorola Solutions, Inc.",Technology,8.9,Low
MS,Morgan Stanley,Financial Services,22.82,High
MCO,Moody's Corporation,Financial Services,10.66,Low
MNST,Monster Beverage Corporation,Consumer Defensive,18.68,Moderate
MDLZ,"Mondelez International, Inc. Class A",Consumer Defensive,15.14,Moderate
TAP,Molson Coors Beverage Company Class B,Consumer Defensive,8.67,Low
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,8.07,Low
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,8.67,Low
MSFT,Microsoft Corp,Technology,18.7,Moderate
MU,"Micron Technology, Inc.",Technology,5.75,Low
MCHP,Microchip Technology Inc,Technology,25.48,High
MGM,Mgm Resorts International,Consumer Cyclical,22.64,High
MET,"Metlife, Inc.",Financial Services,14.09,Moderate
META,"Meta Platforms, Inc. Class A",Communication Services,36.27,High
MRK,"Merck & Co., Inc.",Healthcare,18.97,Moderate
MDT,Medtronic Plc,Healthcare,22.92,High
MCK,Mckesson Corporation,Healthcare,18.34,Moderate
MCD,Mcdonald's Corporation,Consumer Cyclical,17.4,Moderate
MKC,"Mccormick & Company, Incorporated Non-Vtg Cs",Consumer Defensive,14.72,Moderate
MA,Mastercard Incorporated,Financial Services,28.0,High
MAS,Masco Corporation,Industrials,15.96,Moderate
MLM,Martin Marietta Materials,Basic Materials,21.44,High
MMC,"Marsh & Mclennan Companies, Inc.",Financial Services,21.21,High
MAR,Marriot International Class A,Consumer Cyclical,19.53,High
MPC,Marathon Petroleum Corporation,Energy,23.18,High
MRO,Marathon Oil Corporation,Energy,27.57,High
MTB,M&t Bank Corp.,Financial Services,29.85,High
LYB,Lyondellbasell Industries N.v. Class A,Basic Materials,21.21,High
LULU,Lululemon Athletica Inc.,Consumer Cyclical,15.22,Moderate
LOW,Lowe's Companies Inc.,Consumer Cyclical,10.43,Low
